first,last,gender,sport,event,experience,height,weight,dob,birth_city,birth_state,hometown_city,hometown_state,current_residence,current_state,school,n_games,age
Phillip,Dutton ,M,Equestrian,Eventing,"1996-G; 2000-G; 2004-6th,13th; 2008-7th; 2012-7th, 23rd","5'6""",150,1963-09-13,Nyngan,Australia,West Grove,PA,West Grove,PA,"Newington College ’84, Farming",5.0,53.0
Beezie,Madden,F,Equestrian,Jumping,"2004-G; 2008-G, B; 2012-","5'6""",140,1963-11-20,Milwaukee,WI,Cazenovia,NY,Cazenovia,NY,"Nicolet High School (Glendale, Wisconsin) '80",3.0,53.0
Steffen,Peters,M,Equestrian,Dressage,1996-B; 2008-4th; 2012-6th,"5'8""",150,1964-09-18,Wesel,Germany,San Diego,CA,San Diego,CA,"Voerde High School (Voerde, Germany) '84",3.0,52.0
Emil,Milev,M,Shooting,Rapid Fire,Bulgaria: 1992; 1996-S; 2000; 2004; USA: 2012,"5'10""",185,1968-05-02,Sofia,Bulgaria,Brandon,FL,Brandon,FL,"Bulgaria National Sports Academy ’01, Physical Education/Coaching",5.0,48.0
Enkelejda,Shehaj,F,Shooting,Sport,"Albania 1992-14th; 1996-15th, 21st","5'4""",126,1969-01-23,Tirana,Albania,Naples,FL,Naples,FL,University of Albania,2.0,47.0
Kristin,Armstrong,F,Cycling,"Road Race, Time Trial",2004; 2008-G; 2012-G,"5'8""",128,1973-08-11,Memphis,TN,Boise,ID,Boise,ID,"Universty of Idaho '95, Exercise Physiology",3.0,43.0
Bernard,Lagat,M,Track and Field,"5,000m",2000-B; 2004-S; 2008; 2012,"5'8""",130,1974-12-12,Kapsabet,Kenya,Tucson,AZ,Tucson,AZ,Washington State '99,4.0,42.0
Keith,Sanderson,M,Shooting,Rapid Fire,2008-5th; 2012-14th,"6'0""",210,1975-02-02,Colorado Springs,CO,San Antonio,TX,Colorado Springs,CO,"John Marshall High School (San Antonio, Texas)",2.0,41.0
Meb,Keflezighi,M,Track and Field,Marathon,2000; 2004-S; 2012,"5'5""",125,1975-05-05,Asmara,Eritrea,San Diego,CA,San Diego,CA,UCLA - Communications (1998),3.0,41.0
McLain,Ward,M,Equestrian,Jumping,"2004-G; 2008-G, 6th; 2012-6th, 29th","5'9""",155,1975-10-17,Mount Kisco,NY,Brewster,NY,Brewster,NY,Greenwich Country Day,3.0,41.0
Bora,Gulari,M,Sailing,Nacra 17 Class (Two-Person Mixed Multihull),None,"5'11""",165,1975-10-22,Istanbul,Turkey,Detroit,MI,Detroit,MI,"University of Michigan '00, Aerospace Engineering",0.0,41.0
Jake,Gibb,M,Beach Volleyball,Beach,2008; 2012,"6'7""",210,1976-02-06,Bountiful,UT,Bountiful,UT,Huntington Beach,CA,University of Utah - Business (2002 grad),2.0,40.0
Merrill,Moses,M,Water Polo,Goalkeeper,2008-S; 2012,"6'3""",215,1977-08-13,Harbor City,CA,Newbury Park,CA,Newbury Park,CA,Pepperdine 2000 - Public Relations,2.0,39.0
Reid,Priddy,M,Indoor Volleyball,Outside Hitter,2004; 2008-G; 2012,"6'4""",196,1977-10-01,Richmond,VA,Richmond,VA,Las Vegas,NV,Loyola Marymount - Communication Studies (2000 grad),3.0,39.0
John,Nunn,M,Track and Field,50K Race Walk,2004; 2012,"6'2""",172,1978-02-03,Durango,CO,Evansville,IN,Bonsall,CA,University of Wisconsin - Parkside (1997),2.0,38.0
Kerri,Walsh Jennings,F,Beach Volleyball,Beach,2000; 2004-G; 2008-G; 2012-G,"6'3""",160,1978-08-15,Santa Clara,CA,Saratoga,CA,Manhattan Beach,CA,Stanford,4.0,38.0
Steven,Lopez,M,Taekwondo,80 kg.,2000-G; 2004-G; 2008-B; 2012,"6'3""",185,1978-11-09,New York,NY,Sugar Land,TX,Sugar Land,TX,"Kempner High School (Sugar Land, Texas) '97",4.0,38.0
Maggie,Hogan,F,Canoe (Sprint),K1,none,"5'7""",135,1979-01-01,Langhorn,PA,Huntington Beach,CA,Huntington Beach,CA,"University of California - Santa Barbara '01, Bio-Psychology, Oklahoma City University '14, MBA",0.0,37.0
Jay,Shi,M,Shooting,"Free, Air",none,"5'8""",135,1979-02-23,Beijing,China,Phoenix,AZ,Phoenix,AZ,"Arizona State University ’04, Computer System Engineering",0.0,37.0
Kim,Rhode,F,Shooting,Skeet,1996-G; 2000-B; 2004-G; 2008-S; 2012-G,"5'4""",180,1979-07-16,Whittier,CA,El Monte,CA,Monrovia,CA,"California State Polytechnic University – Pomona, Food and Marketing, and Agribusiness Management",5.0,37.0
Tamika,Catchings,F,Basketball,Forward,2004-G; 2008-G; 2012-G,"6'2""",170,1979-07-21,Stratford,NJ,Indianapolis,IN,Indianapolis,IN,University of Tennessee '01,3.0,37.0
Boyd,Martin ,M,Equestrian,Eventing,2012-7th,"6'2""",175,1979-08-20,Sydney,Australia,Cochranville,PA,Cochranville,PA,"Nimbin University '98, Biology",1.0,37.0
Nick,Lucena,M,Beach Volleyball,Beach,none,"6'1""",185,1979-09-22,Davie,FL,Cooper City,FL,Tallahassee,FL,Florida State - Sport Management,0.0,37.0
Allison,Brock,F,Equestrian,Dressage,none,"5'6""",130,1979-12-07,Honolulu,HI,Wellington,FL,Wellington,FL,"Kailua High School (Kailua, Hawaii) '97",0.0,37.0
Phil,Dalhausser,M,Beach Volleyball,Beach,2008-G; 2012,"6'9""",205,1980-01-26,Baden,Switzerland,Ormond Beach,FL,Manhattan Beach,CA,Univerity of Central Florida - Business Administration,2.0,36.0
Casey,Patterson,M,Beach Volleyball,Beach,none,6-6,195,1980-04-20,Van Nuys,CA,Newbury Park,CA,Huntington Beach,CA,BYU,0.0,36.0
Sue,Bird,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"5'9""",147,1980-10-16,New York,NY,Syosset,NY,Seattle,WA,University of Connecticut  '02,3.0,36.0
Carmen,Farmer,F,Rugby,Lock,none,"6'1""",180,1980-12-04,Richmond,VA,Richmond,VA,East New Market,MD,"Virginia Tech University ’03, Public and Urban Affairs; University of Maryland-Baltimore ‘06, Law",0.0,36.0
Kent,Farrington,M,Equestrian,Jumping,none,"5'8""",145,1980-12-28,Chicago,IL,Wellington,FL,Wellington,FL,"The Latin School of Chicago (Chicago, Ill.) '99",0.0,36.0
Matt,Emmons,M,Shooting,Three-Position,2004-Gold; 2008-Silver; 2012-Bronze,"5'9""",185,1981-04-05,Mount Holly,NJ,Brown Mills,NJ,Zbiroh,Czech Republic,"University of Alaska-Fairbanks '03, Accounting",3.0,35.0
Kasia,Trzopek,F,Fencing,Epee,None,"5'9""",164,1981-05-06,Warsaw,Poland,Pacifica,CA,Redwood City,CA,"Penn State University '06, Philosophy",0.0,35.0
Clark,Montgomery,M,Equestrian,Eventing,none,"6'0""",155,1981-05-20,Bryan,TX,Mineral Wells,TX,Tetbury,United Kingdom,"Bryan High School (Bryan, Texas) ‘97",0.0,35.0
Anthony,Ervin,M,Swimming,"50m Free, 4x100m Free","2000-G,S; 2012","6'3""",177,1981-05-26,Los Angeles,CA,Valencia,CA,Los Angeles,CA,"University of California – Berkeley ‘10, English",2.0,35.0
Amber,Campbell,F,Track and Field,Hammer Throw,2008; 2012,"5'7""",200,1981-06-05,Cincinnati,OH,Indianapolis,IN,Myrtle Beach,SC,Coastal Carolina (2004 grad),2.0,35.0
Shalane,Flanagan,F,Track and Field,Marathon,2004; 2008-B; 2012,"5'5""",105,1981-07-08,Boulder,CO,Marblehead,MA,Portland,OR,University of North Carolina - History (2004),3.0,35.0
Kibwe,Johnson,M,Track and Field,Hammer Throw,2012-T-9th,"6'2""",225,1981-07-17,San Francisco,CA,San Francisco,CA,Bradenton,FL,"University of Georgia '01,",1.0,35.0
Hope,Solo,F,Soccer,Goalkeeper,2008-G; 2012-G,"5'9""",148,1981-07-30,Richland,WA,Richland,WA,Kirkland,WA,"University of Washington '03, Communications",2.0,35.0
Tony,Azevedo,M,Water Polo,Attacker,2000; 2004; 2008-S; 2012,"6'1""",198,1981-11-21,Rio de Janeiro,Brazil,Long Beach,CA,Long Beach,CA,Stanford 2004,4.0,35.0
Sarah,True,F,Triathlon,Women's,2012,"5'8""",138,1981-11-27,Hanover,NH,Hanover,NH,West Lebanon,NH,Middlebury College - Conservation Biology/Studio Art (2004),1.0,35.0
Michael,McPhail,M,Shooting,Prone,2012-9th,"6'0""",195,1981-12-15,Platteville,WI,Darlington,WI,Fortson,GA,"University of Wisconsin - Oshkosh, Bsuiness",1.0,35.0
Glenn,Eller,M,Shooting,Double Trap,2000; 2004; 2008-Gold; 2012,"6'2""",180,1982-01-06,Houston,TX,Columbus,GA,Columbus,GA,Auburn University '04,4.0,34.0
Jenn,Suhr,F,Track and Field,Pole Vault,2008-S; 2012-G,"6'0""",145,1982-02-05,Fredonia,NY,Fredonia,NY,Churchville,NY,Roberts Wesleyan '05,2.0,34.0
Justin,Gatlin,M,Track and Field,"100m, 200m","2004-G,S,B; 2012-B,S","6'1""",177,1982-02-10,Brooklyn,NY,Pensacola,FL,Clermont,FL,"University of Tennesee '02; Troy University '06, Psychology",2.0,34.0
Steve,Kasprzyk,M,Rowing,Men's Eight,2012,"6'7""",229,1982-02-14,Willingboro,NJ,Cinnaminson,NJ,Cinnaminson,NJ,Drexel University '05,1.0,34.0
David,Lee,M,Indoor Volleyball,Middle Blocker,2008-G; 2012,"6'8""",231,1982-03-08,El Cajon,CA,Alpine,CA,Alpine,CA,Long Beach State - Human Development,2.0,34.0
Lauren,Fendrick,F,Beach Volleyball,Beach,none,"6'1""",166,1982-03-20,San Diego,CA,Carlsbad,CA,Hermosa Beach,CA,"UCLA, USC",0.0,34.0
Lindsay,Whalen,F,Basketball,Guard,2012-G,"5'9""",160,1982-05-09,Hutchinson,MN,Hutchinson,MN,Golden Valley,MN,University of Minnesota,1.0,34.0
Diana,Taurasi,F,Basketball,Guard,2004-G; 2008-G; 2012-G,"6'0""",155,1982-06-11,Glendale,CA,Chino,CA,Phoenix,AZ,University of Connecticut'04,3.0,34.0
April,Ross,F,Beach Volleyball,Beach,2012-S,"6'1""",165,1982-06-20,Costa Mesa,CA,Costa Mesa,CA,Costa Mesa,CA,USC,1.0,34.0
Carli,Lloyd,F,Soccer,Midfield,2008-G; 2012-G,"5'7""",140,1982-07-16,Marlton,NJ,Delran,NJ,Mt. Laurel,NJ,"Rutgers University '05, Exercise Science/Sport Studies",2.0,34.0
Tyson,Gay,M,Track and Field,4x100m,2008; 2012-S,"5'11""",178,1982-08-09,Lexington,KY,Lexington,KY,Clermont,FL,Barton CC '03; Arkansas - Marketing '05,2.0,34.0
Sean,Furey,M,Track and Field,Javelin Throw,2012 - 37,"6'2""",200,1982-08-31,Greenville,NC,Methuen,MA,San Diego,CA,"Dartmouth College '04, Mechanical Engineering; '05, Engineering Management",1.0,34.0
Meghan,Musnicki,F,Rowing,Women's Eight,2012-G,"6'0""",163,1983-02-05,Canandaigua,NY,Naples,NY,West Windsor,NJ,"Ithaca College '05, Psychology",1.0,33.0
Jesse,Smith,M,Water Polo,Defender,"2004: 2008-S, 2012","6'4""",233,1983-04-27,Coronado,CA,Coronado,CA,Coronado,CA,Pepperdine 2005,1.0,33.0
Evelyn,Stevens,F,Cycling,"Road Race, Time Trial",2012-24th,"5'5""",123,1983-05-09,Claremont,CA,San Francisco,CA,San Francisco,CA,"Dartmouth College '05, Government",1.0,33.0
Lea,Davison,F,Cycling,Mountain - Women's,2012-11th,"5'6""",122,1983-05-19,Syracuse,NY,Jericho,VT,Jericho,VT,"Middlebury College '05, Environmental Studies",1.0,33.0
Desiree,Linden,F,Track and Field,Marathon,2012,"5'1""",96,1983-07-26,San Diego,CA,Chula Vista,CA,Washington Township,MI,Arizona State University - Psychology (2005),1.0,33.0
Sarah,Hammer,F,Cycling,"Omnium, Team Pursuit",2008-5th; 2012-S (2x),"5'7""",145,1983-08-18,Torrance,CA,Temecula,CA,Colorado Springs,CO,"Palomar College '13, Liberal Studies",2.0,33.0
Megan,Kalmoe,F,Rowing,Women’s Quadruple Sculls,2008; 2012-B,"5'10""",160,1983-08-21,Minneapolis,MN,St. Croix Falls,WI,Monmouth Junction,NJ,University of Washington '06 Latin and English,2.0,33.0
Chris,Wyles,M,Rugby,Center/Fullback/Wing,none,"6'0""",205,1983-09-12,Stamford,CT,Stamford,CT,London,United Kingdom,University of Nottingham,0.0,33.0
Bobby,Lea,M,Cycling,Omnium,2008-16th; 2012-12th,"6'2""",170,1983-10-17,Easton,MD,Topton,PA,Mertztown,PA,"Penn State University '06, Business Management",2.0,33.0
Kate,Bertko,F,Rowing,Lightweight Women's Double Sculls,none,"5'9""",128,1983-11-08,Oakland,CA,Oakland,CA,San Francisco,CA,Princeton University,0.0,33.0
Chaunte,Lowe,F,Track and Field,High Jump,2004; 2008; 2012,"5'9""",132,1984-01-12,Templeton,CA,Riverside,CA,Oviedo,FL,"Georgia Tech '06, Economics/Finance; Western Governors University, Mathematics Education",3.0,32.0
Amy,Cragg,F,Track and Field,Marathon,2012,"5'4""",100,1984-01-21,Long Beach,CA,Leavenworth,KS,Portland,OR,"Arizona State University '07, Kinesiology",1.0,32.0
Brent,Bookwalter,M,Cycling,"Road Race, Time Trial",none,"5'11""",150,1984-02-16,Albuquerque,NM,Grand Rapids,MI,Asheville,NC,"Rockford High School (Rockford, Mich.) '02",0.0,32.0
Rajeev,Ram,M,Tennis,Doubles,none,"6'4""",185,1984-03-18,Englewood,CO,Carmel,IN,Carmel,IN,"University of Illinois – Urbana-Champaign ‘06, Coursework",0.0,32.0
Michael,Tinsley,M,Track and Field,400m hurdles,2012-S,"6'1""",165,1984-04-21,Little Rock,AR,Little Rock,AR,Round Rock,TX,Jackson State '05,1.0,32.0
Seimone,Augustus,F,Basketball,Guard/Forward,2008-G; 2012-G,"6'1""",165,1984-04-30,Baton Rouge,LA,Baton Rouge,LA,Baker,LA,Louisiana State University '05,2.0,32.0
Ellen,Tomek,F,Rowing,Women's Double Sculls,2008,"5'10""",160,1984-05-01,Flushing,MI,Flushing,MI,Flushing,MI,University of Michigan '02,1.0,32.0
Carmelo,Anthony,M,Basketball,Forward,"2004-B, 2008-G, 2012-G","6'8""",230,1984-05-29,New York,NY,New York,NY,New York,NY,Syracuse University,1.0,32.0
Ali,Krieger,F,Soccer,Defenseman,none,"5'6""",138,1984-07-28,Alexandria,VA,Dumfries,VA,Derwood,MD,"Penn State University '07, Advertising/Public Relations",0.0,32.0
Ryan,Lochte,M,Swimming,"200m IM, 4x200 Free","2004-G,S; 2008-2G,2B; 2G,2S,B","6'2""",194,1984-08-03,Rochester,NY,Daytona Beach,FL,Charlotte,NC,"University of Florida '06, Sports Management",3.0,32.0
Meghan,O'Leary,F,Rowing,Women's Double Sculls,none,"6'0""",162,1984-08-24,Tulsa,OK,Baton Rouge,LA,Princeton,NJ,University of Virginia,0.0,32.0
Molly,Huddle,F,Track and Field,"10,000m",2012,"5'5""",108,1984-08-31,Elmira,NY,Elmira,NY,Providence,RI,"University of Notre Dame '06, Biology",1.0,32.0
Shannon,Rowbury,F,Track and Field,"1,500m",2008;2012,"5'5""",115,1984-09-19,San Francisco,CA,San Francisco,CA,San Francisco,CA,Duke '07,2.0,32.0
Devin,McEwan,M,Canoe (Slalom),C2,none,"5'10""",170,1984-10-11,Sharon,CT,Salisbury,CT,Lakeville,CT,The Hotchkiss School '12,0.0,32.0
Courtney,Thompson,F,Indoor Volleyball,Setter,2012-S,"5'8""",145,1984-11-04,Bellevue,WA,Kent,WA,Kent,CA,University of Washington,1.0,32.0
Folau,Niua,M,Rugby,Fly-Half,none,"6'0""",196,1985-01-27,Sacramento,CA,East Palo Alto,CA,East Palo Alto,CA,"Woodside High School (River City, Calif.) '02",0.0,31.0
Mariel,Zagunis,F,Fencing,Saber,"2004-G; 2008-G, B; 2012","5'8""",160,1985-03-03,Portland,OR,Portland,OR,Beaverton,OR,"University of Notre Dame, Anthropology",3.0,31.0
Lauren,Crandall,F,Field Hockey,Defender,2008; 2012,"5'3""",127,1985-03-17,Pittsburgh,PA,Doylestown,PA,Lancaster,PA,"Wake Forest University - Communications (2007 grad), Keller Graduate School of Management",2.0,31.0
Paula Lynn,Obanana,F,Badminton,Doubles,none,"5'3""",128,1985-03-19,Dumaguete City,Philippines,"Minneapolis, St. Paul",MN,West Covina,CA,"La Salle University, Taft (Manila, Philippines) '06, Mass Media",0.0,31.0
Michael,Rodgers,M,Track and Field,4x100m,none,"5'9""",178,1985-04-24,St. Louis,MO,Florissant,MO,Round Rock,TX,Oklahoma Baptist University '06,0.0,31.0
Brian,Baker,M,Tennis,Singles,none,"6'3""",170,1985-04-30,Nashville,TN,Nashville,TN,McLean,VA,"Belmont University '15, General Business",0.0,31.0
Megan,Guarnier,F,Cycling,Road Race,none,"5'4""",120,1985-05-04,Glens Falls,NY,Glens Falls,NY,San Mateo,CA,"Middlebury College '07, Neuroscience",0.0,31.0
David,Smith,M,Indoor Volleyball,"Indoor, MB",2012,"6'7""",200,1985-05-15,Panorama City,CA,Saugus,CA,Clovis,CA,University of California- Irvine,1.0,31.0
Victoria,Folayan,F,Rugby,Hooker,none,"5'5""",160,1985-05-27,Boston,MA,Boston,MA,Chula Vista,CA,"Stanford University ‘06, Psychology, Drama",0.0,31.0
Becky,Sauerbrunn,F,Soccer,Defenseman,2012-G,"5'7""",140,1985-06-06,St. Louis,MO,St. Louis,MO,Portland,OR,"University of Virginia '07, English",1.0,31.0
Jessica,Javelet,F,Rugby,Wing,none,"5'6""",140,1985-06-25,San Diego,CA,San Diego,CA,Rancho Santa Fe,CA,"University of Louisville ’07, Marketing",0.0,31.0
John,Mann,M,Water Polo,Center,2012,"6'6""",250,1985-06-27,Beverly Hills,CA,Newport Beach,CA,Pasadena,CA,UC Berkeley 2007,1.0,31.0
Michael,Phelps,M,Swimming,"100m Fly, 200m Fly, 200m IM","2000; 2004-6G, 2B; 2008-8G; 2012-4G,2S","6'4""",200,1985-06-30,Towson,MD,Baltimore,MD,Baltimore,MD,"University of Michigan, Sport Management",4.0,31.0
Megan,Rapinoe,F,Soccer,Midfield,2012-G,"5'6""",133,1985-07-05,Redding,CA,Redding,CA,Seattle,WA,"University of Portland '08, Sociology/Political Science",1.0,31.0
Gevvie,Stone,F,Rowing,Women's Single Sculls,2012,"6'0""",157,1985-07-11,Boston,MA,Newton,MA,Newton,MA,"Princeton University, '07; 'Tufts University '14, M.D.",1.0,31.0
Rachel,Dawson,F,Field Hockey,Midfielder,2008; 2012,"5'10""",150,1985-08-02,Camden,NJ,Berlin,NJ,Berlin,NJ,University of North Carolina - Business Administration (2007 grad),2.0,31.0
Tianna,Bartoletta,F,Track and Field,"100m, Long Jump",2012-G,"5'6""",130,1985-08-30,Elyria,OH,Tampa,FL,Tampa,FL,"University of Tennessee '07, Social Work",1.0,31.0
Sylvia,Fowles,F,Basketball,Center,2008-G; 2012-G,"6'6""",200,1985-10-06,Miami,FL,Miami,FL,Miami,FL,Louisiana State University '08,2.0,31.0
Morghan,King,F,Weightlifting,48 kg.,none,"5'0""",110,1985-10-08,Seattle,WA,Redmond,WA,Colorado Springs,CO,"Notre Dame de Namur University '04, Graphic Design",0.0,31.0
David,Plummer,M,Swimming,100m Back,none,"6'3""",210,1985-10-09,Norman,OK,Minneapolis,MN,Minneapolis,MN,"University of Minnesota '08, English Literature",0.0,31.0
Janay,Deloach,F,Track and Field,Long Jump,2012-B,"5'5""",128,1985-10-12,Tyndall Air Force Base,FL,Fort Collins,CO,Fort Collins,CO,"Colorado State University '08, Human Development, Colorado State University '12, Occupational Therapy",1.0,31.0
Michelle,Carter,F,Track and Field,Shot Put,2008; 2012,"5'9""",300,1985-10-12,San Jose,CA,Ovilla,TX,Ovilla,TX,Texas (2007 grad),2.0,31.0
Kerron,Clement,M,Track and Field,400m hurdles,"2008-G, S; 2012","6'2""",192,1985-10-31,Trinidad,Trinidad and Tobago,LaPorte,TX,Gainesville,FL,University of Florida '07,2.0,31.0
Mara,Abbott,F,Cycling,Road Race,none,"5'4""",115,1985-11-14,Boulder,CO,Boulder,CO,Boulder,CO,"Whitman College '08, Economics",0.0,31.0
Allyson,Felix,F,Track and Field,400m,"2004-S; 2008-G,S; 2012-3G","5'6""",125,1985-11-18,Los Angeles,CA,Los Angeles,CA,Los Angeles,CA,"University of Southern California '07, Elementary Education",3.0,31.0
Tervel,Dlagnev,M,Wrestling,Freestyle 125 kg.,2012,"6'2""",270,1985-11-19,Sofia,Bulgaria,Columbus,OH,Columbus,OH,Nebraska-Kearney,1.0,31.0
Jeff,Porter,M,Track and Field,110m Hurdles,2012,"6'0""",190,1985-11-27,Summit,NJ,Somerset,NJ,Canton,MI,Michigan,1.0,31.0
Ibtihaj,Muhammad,F,Fencing,Saber,None,"5'7""",150,1985-12-04,Maplewood,NJ,Maplewood,NJ,Maplewood,NJ,"Duke University '07, Dual Bachelor's degrees in international relations and African and African-American studies",0.0,31.0
Josh,Richmond,M,Shooting,Double Trap,2012-16th,"6'2""",201,1985-12-19,Sayre,PA,Hillsgrove,PA,Midland,GA,"Troy State Online ’14, General Education",1.0,31.0
Joe,Maloy,M,Triathlon,Men's,none,"5'9""",142,1985-12-20,Somers Point,NJ,Wildwood Crest,NJ,Poway,CA,"Boston College '10, Administrative Studies",0.0,31.0
Anthony,Fahden,M,Rowing,Lightweight Men's Four,2012,"5'11""",158,1986-02-27,Berkeley,CA,Lafayette,CA,Lafayette,CA,"Dartmouth College '08, Art History",1.0,30.0
Travis,Stevens,M,Judo,81 kg.,2008; 2012,"5'11""",178,1986-02-28,Tacoma,WA,Tacoma,WA,Woburn,MA,North Shore Community College,2.0,30.0
Glenn,Ochal,M,Rowing,Men's Eight,2012-B,"6'4""",210,1986-03-01,Philadelphia,PA,Philadelphia,PA,Philadelphia,PA,"Princeton University '08, Economics",1.0,30.0
Amanda,Weir,F,Swimming,4x100m Free,"2012-B, 2004-2S","6'2""",170,1986-03-11,Davenport,IA,Lawrenceville,GA,Decatur,GA,"University of Southern California '09, Fine Art",1.0,30.0
Kim,Conley,F,Track and Field,5000m,2012,"5'3""",110,1986-03-14,Slough,United Kingdom,Sacramento,CA,West Sacramento,CA,UC Davis - Exercise Biology (2009 grad),1.0,30.0
Kyle,Lowry,M,Basketball,Guard,none,"6'0""",250,1986-03-25,Philadelphia,PA,Philadelphia,PA,Toronto,Canada,Villanova Univeristy,0.0,30.0
Brooke,Sweat,F,Beach Volleyball,Beach,none,"5'8""",154,1986-03-27,Fort Myers,FL,Estero,FL,Estero,FL,Florida Gulf Coast University,0.0,30.0
Kara,Winger,F,Track and Field,Javelin Throw,2008-15th; 2012-22nd,"6'0""",185,1986-04-10,Seattle,WA,Vancouver,WA,Colorado Springs,CO,"Purdue University '09, Nutrition, Ftiness and Health; DeVry University, MBA",2.0,30.0
Gwen,Jorgensen,F,Triathlon,Women's,2012,"5'10""",130,1986-04-25,Waukesha,WI,St. Paul,MN,St. Paul,MN,University of Wisconsin - Madison - Accounting (2008),1.0,30.0
Galen,Rupp,M,Track and Field,"Marathon, 10,000m",2008; 2012-S,"5'11""",135,1986-05-08,Portland,OR,Portland,OR,Portland,OR,University of Oregon - Business (2009),2.0,30.0
Charlie,Cole,M,Rowing,Men's Four,2012-B,"6'4""",200,1986-06-21,New York,NY,New Canaan,CT,New York,NY,"Yale University, '07; Oxford University, '08",1.0,30.0
Maria,Michta-Coffey,F,Track and Field,20K Race Walk,2012,"5'5""",110,1986-06-23,Stony Brook,NY,Nesconset,NY,Farmingville,NY,"C.W. Post '08, Biology, Mount Sinai School of Medicine '14, PhD Microbiology",1.0,30.0
Marti,Malloy,F,Judo,57 kg.,2012-B,"5'3""",130,1986-06-23,Oak Harbor,WA,Oak Harbor,WA,San Jose,CA,San Jose State University,1.0,30.0
LaShawn,Merritt,M,Track and Field,"200m, 400m, 4x400m",2008-2G; 2012,"6'3""",190,1986-06-27,Portsmouth,VA,Portsmouth,VA,Portsmouth,VA,"East Carolina '08, Business Management",2.0,30.0
Perry,Baker,M,Rugby,Wing,none,"6'1""",180,1986-06-29,New Smyrna Beach,FL,Daytona Beach,FL,Daytona Beach,FL,"Fairmont State University '10, Criminal Justice",0.0,30.0
Kendrick,Farris,M,Weightlifting,94 kg.,"2008, 2012","5'6""",207,1986-07-02,Stoner Hill,LA,Shreveport,LA,Shreveport,LA,C.E. Byrd High School,1.0,30.0
Jillion,Potter,F,Rugby,Prop,none,"5'10""",175,1986-07-05,Austin,TX,Denver,CO,Denver,CO,"University of New Mexico ’09, Exercise Science",0.0,30.0
Natasha,Hastings,F,Track and Field,400m,2008-G,"5'8""",150,1986-07-23,Brooklyn,NY,Queens,NY,Round Rock,TX,"University of South Carolina '09, Exercise Science",1.0,30.0
Amanda,Polk,F,Rowing,Women's Eight,none,"5'11""",185,1986-08-02,Pittsburg,PA,Pittsburgh,PA,Pennington,NJ,"University of Notre Dame '08, Biochemistry",0.0,30.0
Eva,Lee,F,Badminton,Doubles,2008,"5'6""",130,1986-08-07,Hong Kong,China,Diamond Bar,CA,Diamond Bar,CA,"University of California - Irvine '13, Biological Sciences",1.0,30.0
