first,last,gender,sport,event,experience,height,weight,dob,birth_city,birth_state,hometown_city,hometown_state,current_residence,current_state,school,n_games,age
Jeremy,Taiwo,M,Track and Field,Decathlon,none,"6'4""",200,1990-01-15,Seattle,WA,Renton,WA,Renton,WA,"University of Washinton '13, Latin American Studies",0.0,26.0
Caitlin,Van Sickle,F,Field Hockey,Defender,none,"5'5""",130,1990-01-26,Wilmington,DE,Wilmington,DE,Lancaster,PA,University of North Carolina - Communications (2012 grad),0.0,26.0
Annie,Haeger,F,Sailing,470 (Two-Person Dinghy),none,"5'6""",128,1990-02-05,Chicago,IL,East Troy,WI,Ft. Lauderdale,FL,"Boston College '12, Marketing",0.0,26.0
Dalilah,Muhammad,F,Track and Field,400m Hurdles,none,"5'8""",122,1990-02-07,Jamaica,NY,Jamaica,NY,Los Angeles,CA,USC '12,0.0,26.0
Klay,Thompson,M,Basketball,Guard,none,"6'7""",215,1990-02-08,Los Angeles,CA,Los Angeles,CA,Oakland,CA,Washington State University,0.0,26.0
Monica,Aksamit,F,Fencing,Saber,None,"6'0""",165,1990-02-18,Matawan,NJ,Matawan,NJ,Matawan,NJ,"Penn State University, Biology",0.0,26.0
Draymond,Green,M,Basketball,Forward,none,"6'7""",230,1990-03-04,Saginaw,MI,Saginaw,MI,Oakland,CA,Michigan State University,0.0,26.0
Stefanie,Fee,F,Field Hockey,Defender,none,"5'6""",140,1990-03-11,Virginia Beach,VA,Virginia Beach,VA,Mount Joy,PA,Duke University (2012 grad) - Psychology,0.0,26.0
Emily,Infeld,F,Track and Field,"10,000m",none,5'4,110,1990-03-21,University Heights,OH,Portland,OR,Portland,OR,Georgetown University,0.0,26.0
Danny,Barrett,M,Rugby,Prop,none,"6'2""",225,1990-03-23,Pacifica,CA,Pacifica,CA,Pacifica,CA,"University of California - Berkeley '13, American Studies",0.0,26.0
Sam,Ojserkis,M,Rowing,Men's Eight,none,"5'8""",122,1990-03-24,Pomona,NJ,Linwood,NJ,Linwood,NJ,"University of Washington '12, Geography",0.0,26.0
Mike,Hartfield,M,Track and Field,Long Jump,none,"6'3""",170,1990-03-29,Hartford,CT,Manchester,CT,Chula Vista,CA,"Ohio State University '13, Sociology and Criminal Justice",0.0,26.0
Chris,Benard,M,Track and Field,Triple Jump,none,"6'3""",185,1990-04-09,Tustin,CA,Corona,CA,Chula Vista,CA,"Arizona State University '12, Communication/Exercise and Wellness",0.0,26.0
Mariya,Koroleva,F,Synchro,Duet/Team,2012,"5'5""",123,1990-04-10,Yaroslavl,Russia,Concord,CA,Concord,CA,Stanford University - Communications (2013),1.0,26.0
Tony,McQuay,M,Track and Field,4x400m,2012-S,"5'11""",160,1990-04-16,West Palm Bach,FL,Clermont,FL,Clermont,FL,University of Florida '12,1.0,26.0
Kathleen,Sharkey,F,Field Hockey,Striker,none,"5'4""",128,1990-04-30,Wilkes-Barre,PA,Moosic,PA,Moosic,PA,Princeton University - Sociology (2013 grad),0.0,26.0
Paul,George,M,Basketball,Guard,none,"6'9""",220,1990-05-02,Palmdale,CA,Palmdale,CA,Indianapolis,IN,Fresno State University,0.0,26.0
Sattawat,Pongnairat,M,Badminton,Doubles,none,"5'11""",155,1990-05-08,New York,NY,Orange,CA,Orange,CA,"Taweethapisek High School (Bangkok, Thailand)",0.0,26.0
Rachael,Adams,F,Indoor Volleyball,Middle Blocker,none,"6'2""",178,1990-06-03,Cincinnati,OH,Cincinnati,OH,Cincinnati,OH,University of Texas - Advertising,0.0,26.0
Allison,Schmitt,F,Swimming,4x200m Free,"2008-B; 2012-3G,S,B","6'1""",165,1990-06-07,Pittsburgh,PA,Canton,MI,Paradise Valley,AZ,"University of Georgia ‘13, Psychology",2.0,26.0
Christian,Taylor,M,Track and Field,Triple Jump,2012-G,"6'2""",180,1990-06-18,Uniondale,NY,Fayetteville,GA,Gainesville,FL,University of Florida '12,1.0,26.0
Ben,Provisor,M,Wrestling,Greco-Roman 85 kg.,2012,"5'8""",195,1990-06-26,Stevens Point,WI,Colorado Springs,CO,Stevens Point,WI,Northern Michigan,1.0,26.0
Melissa,Seidemann,F,Water Polo,Defender,2012-G,"6'0""",230,1990-06-26,Hoffman Estates,IL,Walnut Creek,CA,Walnut Creek,CA,Stanford 2012,1.0,26.0
Taylor,Phinney,M,Cycling,"Road Race, Time Trial","2008-2-4th, 7th; 2012-4th","6'5""",180,1990-06-27,Boulder,CO,Boulder,CO,Boulder,CO,"Boulder High School (Boulder, Colo.) '07",2.0,26.0
KK,Clark,F,Water Polo,Defender,none,"6'2""",160,1990-06-28,Palo Alto,CA,Atherton,CA,Hermosa Beach,CA,UCLA 2012,0.0,26.0
Kayla,Harrison,F,Judo,78 kg.,2012-G,"5'8""",165,1990-07-02,Middletown,OH,Middletown,OH,Danvers,MA,Middleton Highschool,1.0,26.0
Mikaela,Mayer,F,Boxing,Lightweight - 60 kg.,none,"5'9""",132,1990-07-04,West Hills,CA,Los Angeles,CA,Colorado Springs,CO,"Northern Michigan University '19, Business Administration",0.0,26.0
Daryl,Homer,M,Fencing,Saber,2012,"5'8""",165,1990-07-16,"St. Thomas, Virgin Islands",Virgin Islands,Bronx,NY,New York,NY,"St. John's University '13, Advertising",1.0,26.0
Rob,Munn,M,Rowing,Men's Eight,none,"6'4""",215,1990-07-26,Bellevue,WA,Redmond,WA,Princeton,NJ,University of Washington,0.0,26.0
Gerek,Meinhardt,M,Fencing,Foil,2008; 2012,"6'0""",175,1990-07-27,San Francisco,CA,San Francisco,CA,San Francisco,CA,"University of Notre Dame '13, Management",2.0,26.0
DeMarcus,Cousins,M,Basketball,Center,none,"6'11""",270,1990-08-13,Mobile,AL,Mobile,AL,Sacramento,CA,University of Kentucky,0.0,26.0
Tori,Bowie,F,Track and Field,"100m, 200m",none,"5'9""",128,1990-08-27,Jackson,MS,Sandhill,MS,Lena,MS,"University of Southern Mississippi, Interdisciplinary Studies",0.0,26.0
Tyler,Nase,M,Rowing,Lightweight Men's Four,none,"6'0""",157,1990-08-30,Phoenixville,PA,Phoenixville,PA,Phoenixville,PA,"Princeton Univesrity '13, Sociology",0.0,26.0
Alex,Karwoski,M,Rowing,Men's Eight,none,"6'4""",200,1990-09-16,Nashua,NH,Hollis,NH,Moultonborough,NH,"Cornell University 12, Civil and Environmental Engineering",0.0,26.0
Ricky,Robertson,M,Track and Field,High Jump,none,"5'11""",165,1990-09-19,Mount Holly,NJ,Hernando,MS,Chula Vista,CA,"University of Mississippi '14, Criminal Justice/Psychology",0.0,26.0
Courtney,Hurley,F,Fencing,Epee,2012-B,"5'8""",175,1990-09-30,San Antonio,TX,San Antonio,TX,San Antonio,TX,"University of Notre Dame '13, Film, Television & Theater, supplementary major in Computer Applications",1.0,26.0
Paige,McPherson,F,Taekwondo,-67 kg.,2012-B,"5'8""",140,1990-10-01,Abilene,TX,Sturgis,SD,Miami,FL,Miami-Dade College,1.0,26.0
Mason,Finley,M,Track and Field,Discus Throw,none,"6'8""",348,1990-10-07,Kansas City,MO,Chaffee County,CO,Lawrence,KS,"University of Wyoming '14, Theatre Performance",0.0,26.0
Brittney,Griner,F,Basketball,Center,none,"6'8""",208,1990-10-18,Houston,TX,Houston,TX,Houston,TX,Baylor University '13,0.0,26.0
Emma,Coburn,F,Track and Field,3000m Steeplechase,2012,"5'8""",120,1990-10-19,Boulder,CO,Crested Butte,CO,Boulder,CO,University of Colorado '13,1.0,26.0
Paul,Chelimo,M,Track and Field,"5,000m",none,"5'9""",125,1990-10-27,Rift Valley,Kenya,Beaverton,OR,Beaverton,OR,University of North Carolina - Greensboro,0.0,26.0
Caleb,Paine,M,Sailing,Finn (One-Person Heavyweight Dinghy),None,"6'3""",215,1990-11-15,San Diego,CA,San Diego,CA,San Diego,CA,Mesa College,0.0,26.0
Howard,Shu,M,Badminton,Singles,none,"6'1""",165,1990-11-28,Los Alamitos,CA,Los Angeles,CA,Anaheim,CA,"University of California - Los Angeles '13, Business Economics",0.0,26.0
Tessa,Gobbo,F,Rowing,Women's Eight,none,"6'1""",180,1990-12-08,Keene,NH,Chesterfield,NH,Chesterfield,NH,"Brown University '13, Sociology",0.0,26.0
Angelica,Delgado,F,Judo,52 kg.,none,"5'3""",115,1990-12-14,Miami,FL,Miami,FL,Miami,FL,Florida International University,0.0,26.0
Kyle,Clemons,M,Track and Field,4x400m,none,"5'11""",163,1990-12-27,Jonesboro,AR,Jonesboro,AR,Lawrence,KS,"University of Kansas, African American Studies",0.0,26.0
Adeline,Gray,F,Wrestling,Freestyle 75 kg.,none,"5'8""",170,1991-01-15,Denver,CO,Denver,CO,Colorado Springs,CO,"University of Colorado, Colorado Springs",0.0,25.0
Alise,Post,F,Cycling,BMX - Women's,2012-12th,"5'2""",125,1991-01-17,St. Cloud,MN,St. Cloud,MN,Chula Vista,CA,"University of San Diego '15, Kinesiology",1.0,25.0
Andrew,Evans,M,Track and Field,Discus Throw,none,"6'6""",250,1991-01-25,Kalamazoo,MI,Portage,MI,Chula Vista,CA,"University of Kentucky '15, Kinesiology",0.0,25.0
Conor,McCullough,M,Track and Field,Hammer Throw,none,"6'5""",235,1991-01-31,Woodland Hills,CA,Los Angeles,CA,Canoga Park,CA,"University of Southern California, History",0.0,25.0
Erik,Kynard,M,Track and Field,High Jump,2012-S,"6'4""",198,1991-02-03,Toledo,OH,Toledo,OH,Manhattan,KS,Kansas State University '13,1.0,25.0
Cale,Simmons,M,Track and Field,Pole Vault,none,"6'0""",145,1991-02-05,Oklahoma City,OK,Rocklin,CA,Colorado Springs,CO,"Air Force Academy '13, Science",0.0,25.0
Sarah,Scherer,F,Shooting,Air,2012- 7th,"5'7""",137,1991-02-12,Salt Lake City,UT,Woburn,MA,Colorado Springs,CO,"Texas Christian University ‘13, Nutrition",1.0,25.0
Lauren,Doyle,F,Rugby,Wing / Full-Back,none,"5'6""",150,1991-02-23,Springfield,IL,Boody,IL,Chula Vista,CA,"Eastern Illinois University '14, Marketing",0.0,25.0
Alex,Naddour,M,Gymnastics,Artistic – Team,none,"5'7""",155,1991-03-04,Mesa,AZ,Gilbert,AZ,Queen Creek,AZ,"University of Oklahoma, Business",0.0,25.0
Amanda,Elmore,F,Rowing,Women's Eight,none,"5'11""",175,1991-03-13,West Lafayette,IN,West Lafayette,IN,West Lafayette,IN,"Purdue University '13, Biology",0.0,25.0
Ameer,Webb,M,Track and Field,200m,none,"5'11""",180,1991-03-19,Harbor City,CA,Harbor City,CA,Apple Valley,CA,"Texas A&M University, Criminal Justice",0.0,25.0
Alev,Kelter,F,Rugby,Scrum Half,none,"5'6""",165,1991-03-21,Tampa,FL,Eagle River,AK,San Diego,CA,"University of Wisconsin ’15, Fine Arts",0.0,25.0
Robby,Andrews,M,Track and Field,"1,500m",none,"5'10""",145,1991-03-29,Staten Island,NJ,Manalapan,NJ,Manalapan,NJ,"University of Virginia '14, Kinesiology",0.0,25.0
Katie,Meili,F,Swimming,100m Breast,none,"5'7""",135,1991-04-16,Carrollton,TX,Colleyville,TX,Charlotte,NC,"Columbia University '13, Psychology",0.0,25.0
Connor,Jaeger,M,Swimming,"400m Free, 1,500m Free",2012-6th,"6'1""",170,1991-04-30,Hackensack,NJ,Fair Haven,NJ,Fair Haven,NJ,"University of Michigan ‘14, Mechanical Engineer",1.0,25.0
Amy,Cozad,F,Diving,10m Synchro,none,"5'3""",113,1991-05-06,Indianapolis,IN,Indianapolis,IN,Indianapolis,IN,"Indiana University '13, Mathematics",0.0,25.0
David,Verburg,M,Track and Field,400m,none,"5'8""",155,1991-05-14,Gainesville,FL,Lynchburg,VA,Gainesville,FL,"George Mason '13, Sports Management",0.0,25.0
Josh,Konieczny,M,Rowing,Lightweight Men's Double Sculls,none,"5'11""",165,1991-05-26,Toledo,OH,Millbury,OH,Somerville,MA,"Dartmouth College '13, Ecnomics",0.0,25.0
Logan,Cunningham,M,Track and Field,Pole Vault,none,"5'9""",160,1991-05-30,Nacogdoches,TX,Smithson Valley,TX,San Marcos,TX,"Texas State University '14, Nutrition and Foods",0.0,25.0
Will,Claye,M,Track and Field,Triple Jump,"2012-S, B","5'11""",160,1991-06-13,Tucson,AZ,Phoenix,AZ,Gainesville,FL,Oklahoma '10/Florida '12,1.0,25.0
Christina,Epps,F,Track and Field,Triple Jump,none,"5'9""",145,1991-06-20,Bronx,NY,Morristown,NJ,Baltimore,MD,"Coppin State University '13, Psychology",0.0,25.0
Andrea,Geubelle,F,Track and Field,Triple Jump,none,"5'4""",128,1991-06-26,Lakewood,WA,University Place,WA,University Place,WA,"University of Kansas, Community Health/Pre-Nursing",0.0,25.0
Hassan,Mead,M,Track and Field,"5,000m",none,"6'2""",145,1991-06-28,Borama,Somalia,Eugene,OR,Eugene,OR,"University of Minnesota '11, Communications",0.0,25.0
Josh,Samuels,M,Water Polo,Attacker,none,"6'4""",210,1991-07-08,Newport Beach,CA,Villa Park,CA,Villa Park,CA,UCLA 2013,0.0,25.0
Tom,Shields,M,Swimming,200m Fly,none,"6'4""",190,1991-07-11,Panama City,FL,Huntington Beach,CA,Berkeley,CA,"University of California - Berkeley '15, Religious Studies",0.0,25.0
Bui,Baravilala,F,Rugby,Full-back,none,"5'6""",165,1991-07-12,Honolulu,HI,Honolulu,HI,Chula Vista,CA,"Radford High School (Honolulu, Hawaii) '09",0.0,25.0
Julia,Reinprecht,F,Field Hockey,Defender,2012,"5'3""",123,1991-07-12,Philadelphia,PA,Perkasie,PA,Perkasie,PA,Princeton University - Politics (2014 grad),1.0,25.0
Jake,Dalton,M,Gymnastics,Artistic – Team,2012-5th,"5'5""",150,1991-07-22,Oak Lawn,IL,Sparks,NV,Gilbert,AZ,"University of Oklahoma '14, Human Relations",1.0,25.0
Timothy,Wang,M,Table Tennis,Singles,2012,"5'9""",141,1991-08-17,Houston,TX,Houston,TX,Houston,TX,"Kerr High School (Houston, Texas) '09",1.0,25.0
Brianna,Rollins,F,Track and Field,100m Hurdles,none,"5'5""",130,1991-08-18,Miami,FL,Miami,FL,Canoga,CA,Clemson University '13,0.0,25.0
Sam,Dorman,M,Diving,3m Synchro,none,"5'9""",170,1991-08-30,Miami,FL,Tempe,AZ,Miami,FL,"University of Miami '15, Mechanical Engineering",0.0,25.0
Sam,Dommer,M,Rowing,Men's Eight,none,"6'2""",202,1991-09-04,Roseville,CA,Folsom,CA,Princeton,NJ,University of Washington '14 Electcrial Engineering,0.0,25.0
Cammile,Adams,F,Swimming,200m Fly,2012,"5'8""",143,1991-09-11,Houston,TX,Houston,TX,Charlotte,NC,Texas A&M - Education (2014 grad),1.0,25.0
Helen,Maroulis,F,Wrestling,Freestyle 53 kg.,none,"5'4""",125,1991-09-19,Olney,MD,Rocky Point,MD,Rockville,MD,"Simon Fraser, Missouri Baptist",0.0,25.0
Louisa,Chafee,F,Sailing,Nacra 17 Class (Two-Person Mixed Multihull),None,"5'5""",125,1991-09-24,Providence,RI,Warwick,RI,Warwick,RI,Brown University,0.0,25.0
Maka,Unufe,M,Rugby,Wing,none,"6'2""",205,1991-09-28,Chula Vista,CA,Provo,UT,Chula Vista,CA,"Provo High School (Provo,  Utah)",0.0,25.0
Jill,Witmer,F,Field Hockey,Striker,none,5'2',116,1991-10-01,Lancaster,PA,Lancaster,PA,Washington Boro,PA,University of Maryland - Family Sciences (2014 grad),0.0,25.0
Kelsey,Kolojejchick,F,Field Hockey,Striker,none,"5'3""",135,1991-10-02,Kingston,PA,Larksville,PA,Larksville,PA,University of North Carolina - Communications (2013 grad),0.0,25.0
Margaux,Isaksen,F,Pentathlon,Women's,2008; 2012,"5'10""",134,1991-10-07,Fayetteville,AR,Fayetteville,AR,Colorado Springs,CO,"Fayetteville High School (Fayetteville, Ark.) '10",2.0,25.0
Colton,Brown,M,Judo,90 kg.,none,"6'0""",200,1991-10-08,San Jose,CA,Piscataway,NJ,San Jose,CA,San Jose State University,0.0,25.0
Kathryn,Johnson,F,Rugby,Center,none,"5'10""",153,1991-10-25,Minneapolis,MN,Hopkins,MN,Hopkins,MN,University of Wisconsin-Milwaukee,0.0,25.0
Danell,Leyva,M,Gymnastics,Artistic – Team,"2012-B, 5th","5'7""",150,1991-10-30,Cardenas,Cuba,Homestead,FL,Homestead,FL,Homeschooled  '10,1.0,25.0
Haley,Anderson,F,Swimming,10K Open Water,2012-Silver,"5'10""",150,1991-11-20,Santa Clara,CA,Granite Bay,CA,Manhattan,CA,University of Southern California - Communications (2013),1.0,25.0
Garrett,Bender,M,Rugby,Forward,none,"6'4""",230,1991-12-02,Minneapolis,MN,Minneapolis,MN,Minneapolis,MN,"Minneapolis Washburn (Miinneapolis, Minn.) '10",0.0,25.0
Alex,Obert,M,Water Polo,Center,none,"6'5""",233,1991-12-18,Yorba Linda,CA,Loomis,CA,Loomis,CA,Pacific 2015,0.0,25.0
Melanie,Margalis,F,Swimming,"200 IM, 4x200 Free",none,"5'8""",144,1991-12-30,Clearwater,FL,Clearwater,FL,Clearwater,FL,"University of Georgia '14, Fashion Merchandising",0.0,25.0
Sam,Crouser,M,Track and Field,Javelin Throw,none,"6'6""",230,1991-12-31,Gresham,OR,Gresham,OR,Gresham,OR,"University of Oregon '15, Sociology",0.0,25.0
Will,Brown,M,Shooting,Air,none,"5'7""",135,1991-12-31,Twin Falls,ID,Twin Falls,ID,Twin Falls,ID,"University of Colorado – Colorado Springs, Mechanical Engineering",0.0,25.0
Tavis,Bailey,M,Track and Field,Discus Throw,none,"6'3""",275,1992-01-06,Poughkeepsie,NY,Kannapolis,NC,Knoxville,TN,"University of Tennessee, '16, MBA Sport Management",0.0,24.0
Cody,Miller,M,Swimming,100m Breast,none,"5'11""",175,1992-01-09,Billings,MT,Las Vegas,NV,Bloomington,IN,"Indiana University '15, Business Management",0.0,24.0
Katrina,Young,F,Diving,10m Individual,none,"5'4""",132,1992-01-10,Shoreline,WA,Seattle,WA,Tallahassee,FL,"Florida State University '14, Commercial Music",0.0,24.0
Marielle,Hall,F,Track and Field,"10,000m",none,5'3,112,1992-01-28,Philadelphia,PA,Mount Laurel,NJ,Mount Laurel,NJ,"University of Texas '14, Government",0.0,24.0
Andrew,"Campbell, Jr.",M,Rowing,Lightweight Men's Double Sculls,none,"5'10""",155,1992-02-02,Barrington,IL,Cambridge,MA,Cambridge,MA,Harvard University,0.0,24.0
Nana,Fa'avesi,F,Rugby,Prop,none,"5'6""",161,1992-02-05,Salinas,CA,Sacramento,CA,Chula Vista,CA,"Luther Burbank High School (Sacramento, Calif.) ‘10",0.0,24.0
Molly,Hannis,F,Swimming,200m Breast,none,"5'6""",155,1992-03-13,Santa Rosa,CA,Santa Rosa,CA,Knoxville,TN,"University of Tennessee '15, Recreation Sports Management",0.0,24.0
Taylor,Sander,M,Indoor Volleyball,Outside Hitter,none,6-4,190,1992-03-17,Fountain Valley,CA,Corona,CA,Huntington Beach,CA,BYU,0.0,24.0
Kyrie,Irving,M,Basketball,Guard,none,"6'3""",193,1992-03-23,Kew,Australia,West Orange,NJ,Cleveland,OH,Duke University,0.0,24.0
Julie,Johnston,F,Soccer,Defenseman,none,"5'7""",144,1992-04-06,Phoenix,AZ,Mesa,AZ,Mesa,AZ,"Santa Clara Univeristy '14, Communication",0.0,24.0
Corben,Sharrah,M,Cycling,BMX - Men's,none,"6'0""",188,1992-04-20,Tuscon,AZ,Tucson,AZ,Tuscon,AZ,"University of Arizona '18, Science",0.0,24.0
English,Gardner,F,Track and Field,100m,none,"5'6""",120,1992-04-22,Philadelphia,PA,Voorhees,NJ,Lumberton,NJ,"University of Oregon '13, Social Sciences",0.0,24.0
Phyllis,Francis,F,Track and Field,400m,none,"5'11""",158,1992-05-04,New York,NY,Bryan,TX,Bryan,TX,"University of Oregon '14, Social Sciences",0.0,24.0
Kaleigh,Gilchrist,F,Water Polo,Attacker,none,"5'9""",170,1992-05-16,Newport Beach,CA,Newport Beach,CA,Newport Beach,CA,USC 2014,0.0,24.0
Austin,Hack,M,Rowing,Men's Eight,none,"6'8""",220,1992-05-17,Springfield,MA,Old Lyme,CT,Princeton,NJ,"Stanford University '14, Political Science",0.0,24.0
Nathan,Schrimsher,M,Pentathlon,Men's,none,"6'2""",174,1992-05-22,Roswell,NM,Roswell,NM,Colorado Springs,CO,Eastern New Mexico State University '10,0.0,24.0
Abbey,D'Agostino,F,Track and Field,5000m,none,5'3,110,1992-05-25,Boston,MA,Topsfield,MA,Brighton,MA,Dartmouth University '14,0.0,24.0
Harrison,Barnes,M,Basketball,Forward,none,"6'8""",225,1992-05-30,Ames,IA,Ames,IA,Dallas,TX,University of North Carolina,0.0,24.0
Sami,Hill,F,Water Polo,Goalkeeper,none,"6'0""",197,1992-06-08,Honolulu,HI,Santa Barbara,CA,Santa Barbara,CA,UCLA 2015,0.0,24.0
Jesse,Thielke,M,Wrestling,Greco-Roman 59 kg.,none,"5'7""",150,1992-06-09,West Bend,WI,Germantown,WI,Colorado Springs,CO,Wisconsin,0.0,24.0
Helena,Scutt,F,Sailing,49erFX (Two-Person High Performance Skiff),None,"5'7""",145,1992-06-15,Cheltenham,United Kingdom,Kirkland,WA,Kirland,WA,Stanford University - Biomechanical Engineering (2014),0.0,24.0
Kelsey,Robinson,F,Indoor Volleyball,Outside Hitter,none,"6'2""",155,1992-06-25,Elmhurt,IL,Bartlett,IL,Bartlett,IL,University of Nebraska,0.0,24.0
Crystal,Dunn,F,Soccer,Midfield,none,"5'2""",123,1992-07-03,Queens,NY,Rockville Centre,NY,Rockville Centre,NY,"University of North Carolina ’14, Sociology",0.0,24.0
Sandi,Morris,F,Track and Field,Pole Vault,none,"5'8""",137,1992-07-08,Downers Grove,IL,Greenville,SC,Fayetteville,AR,"University of Arkansas '15, Broadcast Journalism",0.0,24.0
Sean,Ryan,M,Swimming,10K Open Water,None,"6'3""",170,1992-08-13,Augusta,GA,Chattanooga,TN,Ann Arbor,MI,University of Michigan - Mechanical Engineering (2014),0.0,24.0
Nzingha,Prescod,F,Fencing,Foil,2012,"5'4""",138,1992-08-14,New York,NY,Brooklyn,NY,Brooklyn,NY,"Columbia University '15, Political Science w / Concentration in Race & Ethnicity",1.0,24.0
Denis,Kudla,M,Tennis,Singles,none,"5'11""",175,1992-08-17,Kiev,Ukraine,Arlington,VA,Tampa,FL,"Laurel Springs High School (College Park, Maryland) '10",0.0,24.0
Elizabeth,Beisel,F,Swimming,400m IM,"2008; 2012-S,B","5'6""",146,1992-08-18,Saunderstown,RI,Saunderstown,RI,Gainesville,FL,University of Florida - Communications (2014 grad),2.0,24.0
Kelsey,Card,F,Track and Field,Discus Throw,none,"5'10""",255,1992-08-20,Springfield,IL,Carlinville,IL,Madison,WI,"University of Wisconsin '16, Human Development and Family Studies",0.0,24.0
Sam,Kendricks,M,Track and Field,Pole Vault,none,"6'1""",175,1992-09-07,Oceanside,CA,Oxford,MS,Oxford,MS,University of Mississippi,0.0,24.0
Connor,Fields,M,Cycling,BMX - Men's,2012-7th,"6'0""",195,1992-09-14,Plano,TX,Las Vegas,NV,Henderson,NV,"University of Nevada - Las Vegas '18, Marketing",1.0,24.0
Sam,Mikulak,M,Gymnastics,Artistic – Team,2012,"5'5""",140,1992-10-13,Corona del Mar,CA,Newport Beach,CA,Colorado Springs,CO,"University of Michigan '14, Psychology",1.0,24.0
Kristian,Ipsen,M,Diving,3m Individual,2012-B,"5'7""",160,1992-10-20,Walnut Creek,CA,Clayton,CA,Clayton,CA,"Stanford University '15, Science, Technology and Society",1.0,24.0
Lucy,Davis,F,Equestrian,Jumping,none,"5'5""",122,1992-10-22,Los Angeles,CA,Los Angeles,CA,Los Angeles,CA,"Stanford University '15, Architectural Design",0.0,24.0
Madison,Hughes,M,Rugby,Scrum Half,none,"5'8""",175,10/26/1992,Epsom,United Kingdom,Lancaster,MA,San Diego,CA,"Dartmouth College '15, History",0.0,NA
Anders,Weiss,M,Rowing,Men's Pair,none,"6'5""",205,1992-11-05,Providence,RI,Barrington,RI,Barrington,RI,"Brown University '16, Economics",0.0,24.0
Daniel,Lowe,M,Shooting,Air,none,"6'0""",180,1992-11-18,Federal Way,WA,Olympia,WA,Fort Benning,GA,"(Olympia, Wash.) '12",0.0,24.0
Jenna,Prandini,F,Track and Field,200m,none,"5'8""",132,1992-11-20,Fresno,CA,Clovis,CA,Eugene,OR,"University of Oregon '16, Business and Economics",0.0,24.0
Colleen,Quigley,F,Track and Field,3000m Steeplechase,none,"5'9""",135,1992-11-20,St. Louis,MO,St. Louis,MO,Portland,OR,"Florida State University '15, Dietetics",0.0,24.0
Ben,Kanute,M,Triathlon,Men's,none,"6'0""",155,1992-12-14,Winfield,IL,Geneva,IL,Geneva,IL,"University of Arizona '14, Phsiology",0.0,24.0
Ryan,Crouser,M,Track and Field,Shot put,none,"6'7""",275,1992-12-18,Portland,OR,Boring,OR,Redmond,OR,"University of Texas '15, Economics",0.0,24.0
Boris,Berian,M,Track and Field,800m,none,"6'0""",153,1992-12-19,Colorado Springs,CO,Colorado Springs,CO,Rancho Cucamonga,CA,"Adams State University, Education and Coaching",0.0,24.0
