first,last,gender,sport,event,experience,height,weight,dob,birth_city,birth_state,hometown_city,hometown_state,current_residence,current_state,school,n_games,age
Howard,Grotts,M,Cycling,Mountain - Men's,none,"5'7""",130,1993-01-12,Durango,CO,Durango,CO,Durango,CO,"Fort Lewis College '14, Mathematics",0.0,23.0
Courtney,Frerichs,F,Track and Field,3000m Steeplechase,none,"5'7""",118,1993-01-18,Barrington,IL,Nixa,MO,Nixa,MO,"University of New Mexico '17, M.S. community Health",0.0,23.0
Karsta,Lowe,F,Indoor Volleyball,Opposite,none,"6'4""",180,1993-02-02,San Diego,CA,San Diego,CA,Rancho Santa Fe,CA,UCLA,0.0,23.0
Shelby,Houlihan,F,Track and Field,5000m,none,"5'3""",118,1993-02-08,Sioux City,IA,Sioux City,IA,Beaverton,OR,"Arizona State University '15, Interdisciplinary Studies/Business",0.0,23.0
Zach,Ziemek,M,Track and Field,Decathlon,none,"6'4""",195,1993-02-23,Elmhurst,IL,Itasca,IL,Itasca,IL,"University of Wisconsin '16, Nautical Engineering",0.0,23.0
Morgan,Brian,F,Soccer,Midfield,none,"5'7""",127,1993-02-26,Kinston,NC,Houston,TX,Smyrna,GA,"University of Virginia '14, Kinesiology",0.0,23.0
Kiley,Neushul,F,Water Polo,Attacker,none,"5'8""",145,1993-03-05,Goleta,CA,Isla Vista,CA,Goleta,CA,Stanford 2015,0.0,23.0
Chrishuna,Williams,F,Track and Field,800m,none,"5'3""",120,1993-03-31,Bossier City,LA,Dallas,TX,Fayetteville,AR,"University of Arkansas '15, Human Development and Life Science",0.0,23.0
Maya,DiRado,F,Swimming,"200m Back, 200m IM, 400m IM",none,"5'9""",143,1993-04-05,San Francisco,CA,Santa Rosa,CA,Redwood City,CA,"Stanford University ‘14, Management Science and Engineering",0.0,23.0
Race,Imboden,M,Fencing,Foil,2012,"6'1""",165,1993-04-17,Tampa,FL,Brooklyn,NY,Brooklyn,NY,St. John's University,1.0,23.0
Brooke,Crain,F,Cycling,BMX - Women's,2012-8th,"5'4""",123,1993-04-29,Visalia,CA,Visalia,CA,Visalia,CA,Marian University,1.0,23.0
Taylor,Ellis-Watson,F,Track and Field,4x400m,none,"6'0""",142,1993-05-06,Philadelphia,PA,Philadelphia,PA,Melbourne,FL,"University of Pittsburgh '15, Psychology",0.0,23.0
Micah,Christenson,M,Indoor Volleyball,Setter,none,"6'6""",190,1993-05-08,Honolulu,HI,Honolulu,HI,Redondo Beach,CA,USC,0.0,23.0
Morgan,Craft,F,Shooting,Skeet,none,"5'3""",140,1993-05-11,Williamsport,PA,Muncy Valley,PA,Hellertown,PA,"Lindenwood University '15, Exercise Science",0.0,23.0
Maggie,Steffens,F,Water Polo,Defender,2012-G,"5'8""",165,1993-06-04,San Ramon,CA,Danville,CA,Danville,CA,Stanford 2016,1.0,23.0
Aaron,Russell,M,Indoor Volleyball,Outside Hitter,none,6-9,205,1993-06-04,Arbutus,MD,Ellicott City,MD,Ellicott City,MD,Penn State,0.0,23.0
Ashley,Spencer,F,Track and Field,400m Hurdles,none,"5'10""",130,1993-06-08,Indianapolis,IN,Indianapolis,IN,Austin,TX,Illinois '15,0.0,23.0
DeAnna,Price,F,Track and Field,Hammer Throw,none,5'8,220,1993-06-08,St. Charles,MO,Old Monroe,MO,Carbondale,IL,"Southern Illinois University '16, Accounting",0.0,23.0
Ruth,Winder,F,Cycling,Team Pursuit,none,"5'4""",127,1993-07-09,Steeton,United Kingdom,Lafayette,CA,Lafayette,CA,"Winder Academy (Lafayette, Calif.) '12",0.0,23.0
Katharine,Holmes,F,Fencing,Epee,none,"5'11""",175,1993-07-15,"Washington, D.C.",DC,"Washington, D.C.",DC,Princeton,NJ,"Princeton University '17, Neuroscience",0.0,23.0
Matt,Baranoski,M,Cycling,Keirin,none,"6'0""",212,1993-07-27,Perkasie,PA,Perkasie,PA,Perkasie,PA,"Penn State University '16, Electrical Engineering",0.0,23.0
Josh,Prenot,M,Swimming,200m Breast,none,"5'11""",167,1993-07-28,Sedalia,MO,Berkeley,CA,Berkeley,CA,"University of California - Berkeley '17, Physics",0.0,23.0
Kevin,Cordes,M,Swimming,"100m Breast, 200m Breast",none,"6'5""",193,1993-08-13,Chicago,IL,Naperville,IL,Naperville,IL,"University of Arizona ‘15, Business",0.0,23.0
Darrell,Hill,M,Track and Field,Shot Put,none,"6'3""",320,1993-08-17,Darby,PA,Darby,PA,State College,PA,"Penn State University '15, Rehabiliation and Human Service",0.0,23.0
Alex,Bowen,M,Water Polo,Attacker,none,"6'5""",220,1993-09-04,San Diego,CA,Santee,CA,Santee,CA,Stanford 2015,0.0,23.0
Thomas,Jaeschke,M,Indoor Volleyball,Outside Hitter,none,6-6,200,1993-09-04,Wheaton,IL,Wheaton,IL,Wheaton,IL,Loyola University Chicago,0.0,23.0
Michal,Smolen,M,Canoe (Slalom),K1,none,"5'11""",155,1993-09-13,Krakow,Poland,Charlotte,NC,Gastonia,NC,Queens University,0.0,23.0
Jacob,Pebley,M,Swimming,200m Back,none,"6'4""",190,1993-09-17,Albany,OR,Corvallis,OR,Berkeley,CA,"University of California – Berkeley ‘16, Psychology",0.0,23.0
Isabella,Isaksen,F,Pentathlon,Women's,none,"5'8""",139,1993-11-22,Fayetteville,AR,Fayetteville,AR,Colorado Springs,CO,"DeVry University '16, Environmental Sustainability",0.0,23.0
Rachel,Fattal,F,Water Polo,Attacker,none,"5'8""",145,1993-12-10,Los Alamitos,CA,Seal Beach,CA,Seal Beach,CA,UCLA 2016,0.0,23.0
Jenny,Arthur,F,Weightlifting,69 kg.,None,"5'5""",165,1993-12-11,Gainesville,GA,Gainesville,GA,Colorado Springs,CO,Chestatee High School (2012),0.0,23.0
Marvin,Bracy,M,Track and Field,100m,none,"5'9""",171,1993-12-15,Orlando,FL,Orlando,FL,Clermont,FL,Florida State University,0.0,23.0
Maggie,Malone,F,Track and Field,Javelin Throw,none,"5'8""",170,1993-12-30,College Station,TX,Geneva,NE,College Station,TX,"Texas A&M University '17, Human Resources",0.0,23.0
Brad,Adkins,M,Track and Field,High Jump,none,"6'2""",175,1993-12-30,Lubbock,TX,Idalou,TX,Lubbock,TX,Texas Tech University '16,0.0,23.0
Bret,Bonanni,M,Water Polo,Attacker,none,"6'4""",205,1994-01-20,Newport Beach,CA,Huntington Beach,CA,Huntington Beach,CA,Stanford 2016,0.0,22.0
Arman,Hall,M,Track and Field,4x400m,none,"6'0""",165,1994-02-12,Miami,FL,Pembroke Pines,FL,Pembroke Pines,FL,"University of Florida '17, African American Studies",0.0,22.0
Chase,Kalisz,M,Swimming,400m IM,none,"6'4""",190,1994-03-07,Baltimore,MD,Bel Air,MD,Bel Air,MD,"University of Georgia '16, Business",0.0,22.0
Courtney,Okolo,F,Track and Field,4x400m,none,"5'8""",130,1994-03-15,Dallas,TX,Carrollton,TX,Austin,TX,"University of Texas, 16",0.0,22.0
Alexander,Massialas,M,Fencing,Foil,2012,"6'2""",180,1994-04-20,San Francisco,CA,San Francisco,CA,San Francisco,CA,"Stanford University, Engineering",1.0,22.0
Jordan,Wilimovsky,M,Swimming,"10K Open Water; 1,500m free",none,"5'9""",150,1994-04-22,Malibu,CA,Malibu,CA,Mailbu,CA,Northwestern University - Political Science (2016),0.0,22.0
Jarrion,Lawson,M,Track and Field,Long Jump,none,"6'2""",172,1994-05-06,Texarkana,TX,Texarkana,TX,Fayetteville,AR,University of Arkansas,0.0,22.0
Ajeé,Wilson,F,Track and Field,800m,none,"5'8""",135,1994-05-08,Philadelphia,PA,Philadelphia,PA,Philadelphia,PA,"Temple University '16, Kinesiology",0.0,22.0
Phillip,Chew,M,Badminton,Doubles,none,"5'8""",200,1994-05-16,Anaheim,CA,Orange,CA,Orange,CA,"University of California - Irvine '19, Business Economics",0.0,22.0
Morolake,Akinosun,F,Track and Field,4x100m,none,"5'4""",135,1994-05-17,Lagos,Nigeria,Chicago,IL,Austin,TX,"University of Texas '16, Exercise Science",0.0,22.0
Aly,Raisman,F,Gymnastics,Artistic – Team,"2012-2G, 1B","5'2""",115,1994-05-25,Boston,MA,Needham,MA,Needham,MA,"Needham High School '12 (Needham Heights, Mass.)",1.0,22.0
Lindsey,Horan,F,Soccer,Forward,none,5'9',165,1994-05-26,Wheat Ridge,CO,Golden,CO,Golden,CO,--,0.0,22.0
Alyssa,Manley,F,Field Hockey,Defender,none,"5'2""",118,1994-05-27,Lancaster,PA,Lititz,PA,Lititz,PA,Syracuse University (2016 grad) - Child and Family studies,0.0,22.0
Ben,Pinkelman,M,Rugby,Forward,none,"6'4""",220,1994-06-13,Omaha,NE,Centennial,CO,Centennial,CO,"Colorado State University '16, Criminal Justice",0.0,22.0
Lee,Kiefer,F,Fencing,Foil,2012,"5'4""",107,1994-06-15,Cleveland,OH,Lexington,KY,Lexington,KY,"University of Notre Dame '13, Premed",1.0,22.0
Jessica,Parratto,F,Diving,"10m Synchro, 10m Individual",none,"5'2""",112,1994-06-26,Bloomington,IN,Dover,NH,Bloomington,IN,"Indiana University '18, Liberal Studies",0.0,22.0
David,Higgins,M,Shooting,Prone,none,"5'9""",150,1994-06-27,La Jolla,CA,San Clemente,CA,Colorado Springs,CO,"Air Force Academy '16, Economics",0.0,22.0
Hali,Flickinger,F,Swimming,200m Fly,none,"5'5""",115,1994-07-07,York,PA,Spring Grove,PA,Athens,GA,"University of Georgia '17, Finance",0.0,22.0
Kelsi,Worrell,F,Swimming,100m Fly,none,"5'11""",165,1994-07-15,Voorhees,NJ,Westampton,NJ,Louisville,KY,"University of Louisville '16, Exercise Science",0.0,22.0
Michael,Hixon,M,Diving,"3m Synchro, 3m Individual",none,"5'8""",150,1994-07-16,Amherst,MA,Amherst,MA,Bloomington,IN,"Indiana University '18, Economic Consulting and Public Policy",0.0,22.0
Shelbi,Vaughan,F,Track and Field,Discus Throw,none,"6'0""",280,1994-08-24,Weatherford,TX,Weatherford,TX,Weatherford,TX,"Texas A&M University '16, Sports Management",0.0,22.0
Breanna,Stewart,F,Basketball,Forward/Center,none,"6'4""",175,1994-08-27,Syracuse,NY,North Syracuse,NY,North Syracuse,NY,University of Connecticut '16,0.0,22.0
Iris,Wang,F,Badminton,Singles,none,"5'3""",115,1994-09-02,Pasadena,CA,Arcadia,CA,Arcadia,CA,"University of California - Los Angeles '19, Business Economics",0.0,22.0
Ashleigh,Johnson,F,Water Polo,Goalkeeper,none,"6'1""",180,1994-09-12,Miami,FL,Miami,FL,Long Beach,CA,Princeton 2017,0.0,22.0
Jack,Conger,M,Swimming,4x200m Free,none,"6'4""",175,1994-09-26,Rockville,MD,Rockville,MD,Rockville,MD,"University of Texas ‘18, Corporate Communications",0.0,22.0
Olivia,Smoliga,F,Swimming,100m Back,none,"6'2""",165,1994-10-12,Phoenix,AZ,Chicago,IL,Athens,GA,"Univeristy of Georgia '16, Exercise and Sport Science",0.0,22.0
Haley,Augello,F,Wrestling,Freestyle 48 kg.,none,"5'2""",118,1994-10-17,Lockport,IL,Lockport,IL,Colorado Springs,CO,King University,0.0,22.0
Alisa,Kano,F,Gymnastics,Rhythmic group,none,"5'4""",105,1994-11-07,Tokyo,Japan,New York,NY,Glencoe,IL,"Oakton Community College, Undeclared",0.0,22.0
Rudy,Winkler,M,Track and Field,Hammer Throw,none,"6'2""",240,1994-12-06,Albany,NY,Ithaca,NY,Ithaca,NY,"Cornell University '17, Information Science",0.0,22.0
Devon,Allen,M,Track and Field,110m Hurdles,none,"6'1""",185,1994-12-12,Eugene,OR,Eugene,OR,Eugene,OR,"University of Oregon '17, Business",0.0,22.0
Jennifer,Valente,F,Cycling,Team Pursuit,none,"5'9""",165,1994-12-24,San Diego,CA,San Diego,CA,Colorado Springs,CO,"University of Colorado-Colorado Springs, Undeclared",0.0,22.0
Alex,Roelse,M,Water Polo,Defender,none,"6'8""",255,1995-01-10,Netherlands,Netherlands,Westwoods,CA,Los Angeles,CA,UCLA 2018,0.0,21.0
Lia,Neal,F,Swimming,4x100m Free,2012 - B,"5'10""",165,1995-02-13,Brooklyn,NY,Brooklyn,NY,Brooklyn,NY,"Stanford Univeristy '17, Science, Technology and Society",1.0,21.0
Clayton,Murphy,M,Track and Field,800m,none,"5'11""",150,1995-02-26,Greenville,OH,Akron,OH,Akron,OH,"University of Akron '17, Corporate Finance",0.0,21.0
J'den,Cox,M,Wrestling,Freestyle 86 kg.,none,"5'11""",189,1995-03-03,Columbia,MO,Columbia,MO,Columbia,MO,University of Missouri (2017),0.0,21.0
Mackenzie,Brown,F,Archery,Individual,none,"5'10""",165,1995-03-14,Tyler,TX,Flint,TX,Chula Vista,CA,"Homeschooled (Tyler, Texas) '13",0.0,21.0
Claressa,Shields,F,Boxing,Middleweight - 75 kg.,2012-G,"5'9""",165,1995-03-17,Flint,MI,Flint,MI,Colorado Springs,CO,Flint Northwestern High School '13,1.0,21.0
Zach,Garrett,M,Archery,"Individual, Team",none,"5'10""",140,1995-04-08,Chula Vista,CA,Wellington,MO,Chula Vista,CA,"Wellington-Napoleon High School (Wellington, Mo.) '13",0.0,21.0
Clark,Smith,M,Swimming,4x200m Free,none,"6'9""",198,1995-04-17,Atlanta,GA,Denver,CO,Parker,CO,"University of Texas '17, Kinesiology",0.0,21.0
Leah,Smith,F,Swimming,"400m Free, 800m Free, 4x200m Free",none,"5'9""",149,1995-04-19,Pittsburgh,PA,Pittsburgh,PA,Charlottesville,VA,"University of Virginia '17, Media Studies",0.0,21.0
Kassidy,Cook,F,Diving,3m Individual,none,"5'4""",125,1995-05-09,Plantation,FL,The Woodlands,TX,The Woodlands,TX,"Stanford '17, Communications/Advertising",0.0,21.0
Byron,Robinson,M,Track and Field,400m Hurdles,none,"5'9""",165,1995-05-10,Richmond,VA,Chesapeake,VA,Austin,TX,"University of Texas '17, Government",0.0,21.0
Missy,Franklin,F,Swimming,"200m Back, 200m Free, 4x200m Free","2012-4G, 1B","6'2""",170,1995-05-10,Pasadena,CA,Centennial,CO,Centennial,CO,"Regis Jesuit High School (Aurora, Colo.) ‘13",1.0,21.0
Deajah,Stevens,F,Track and Field,200m,none,"5'9""",142,1995-05-19,Baltimore,MD,Bayside,NY,Eugene,OR,University of Oregon,0.0,21.0
Lucas,Kozeniesky,M,Shooting,Air,none,"5'11""",175,1995-05-31,Meterie,LA,Fairfax,VA,Camp Lejeune,NC,"North Carolina State University '17, Sport Management",0.0,21.0
Kendell,Williams,F,Track and Field,Heptathlon,none,"5'10""",148,1995-06-14,Arlington,VA,Kennesaw,GA,Kennesaw,GA,"University of Georgia, Public Relations",0.0,21.0
Ryan,Murphy,M,Swimming,"100m Back, 200m Back",none,"6'3""",200,1995-07-02,Palos Heights,IL,Ponte Vedra Beach,FL,Berkeley,CA,"University of California - Berkeley '17, Undeclared",0.0,21.0
Trayvon,Bromell,M,Track and Field,100m,none,"5'9""",154,1995-07-10,St. Petersburg,FL,St. Petersburg,FL,Waco,TX,"Baylor University '17, Film and Digital Media",0.0,21.0
Jay,Litherland,M,Swimming,400m IM,none,"6'0""",175,1995-08-24,Osaka,Japan,Greensboro,GA,Greensboro,GA,"University of Georgia '18, Business",0.0,21.0
Marion,Lepert,F,Sailing,RS:X (Sail Board),none,"5'10""",135,1995-09-18,La Tronche,France,Belmont,CA,Belmont,CA,"Stanford University ’18, Mechanical Engineering",0.0,21.0
Eli,Dershwitz,M,Fencing,Saber,none,"6'1""",170,1995-09-23,Boston,MA,Sherborn,MA,Sherborn,MA,Harvard University '19,0.0,21.0
McQuin,Baron,M,Water Polo,Goalkeeper,none,"6'8""",205,1995-10-27,Laguna Beach,CA,North Tustin,CA,North Tustin,CA,USC 2018,0.0,21.0
Kelly,Catlin,F,Cycling,Team Pursuit,none,"5'6""",140,1995-11-03,Saint Paul,MN,Arden Hills,MN,Colorado Springs,CO,"University of Minnesota '18, Biomedical Engineering and Chinese",0.0,21.0
Luca,Cupido,M,Water Polo,Attacker,none,"6'4""",210,1995-11-09,Genova,Italy,Newport Beach,CA,Newport Beach,CA,UC Berkeley 2018,0.0,21.0
Blake,Pieroni,M,Swimming,4x100 Free,none,"6'2""",190,1995-11-15,Crown Point,IN,Valparaiso,IN,Bloomington,IN,"Indiana University '18, Biology",0.0,21.0
Kyle,Snyder,M,Wrestling,Freestyle 97 kg.,none,"5'11""",225,1995-11-20,Woodbine,MD,Woodbine,MD,Woodbine,MD,Ohio State,0.0,21.0
Paris,Henken,F,Sailing,49erFX (Two-Person High Performance Skiff),None,"5'6""",140,1995-12-22,Sonora,CA,Coronado,CA,Coronado,CA,College of Charleston,0.0,21.0
Jackie,Galloway,F,Taekwondo,+67 kg.,None,"5'10""",175,1995-12-27,Crownpoint,IN,Wylie,TX,Sachse,TX,Southern Methodist University - Biomechanical engineering (2018),0.0,21.0
Gabby,Douglas,F,Gymnastics,Artistic – Team,"2012-2G, 7th, 8th","5'2""",110,1995-12-31,Newport News,VA,Los Angeles,CA,Tarzana,CA,"Oak Park High School (Oakpark, Calif.) '15",1.0,21.0
Gunnar,Bentz,M,Swimming,4x200m Free,none,"6'5""",185,1996-01-03,Atlanta,GA,Atlanta,GA,Athens,GA,"University of Georgia ‘18, Business Management/Aerospace Studies",0.0,20.0
Keturah,Orji,F,Track and Field,Triple Jump,none,"5'5""",135,1996-03-05,Hoboken,NJ,Mount Olive,NJ,Budlake,NJ,"University of Georgia '18, Financial Planning",0.0,20.0
Christian,Coleman,M,Track and Field,4x100m,none,"5'9""",159,1996-03-06,Atlanta,GA,Atlanta,GA,Atlanta,GA,"University of Tennessee, Sport Management",0.0,20.0
Cierra,Runge,M,Swimming,4x200m Free,none,"6'4""",187,1996-03-07,West Chester,PA,Cochranville,PA,Cochranville,PA,"University of California – Berkeley, University of Wisconsin, Undeclared",0.0,20.0
Pedro,Pascual,M,Sailing,RS:X,none,"6'1""",154,1996-03-15,Cordoba,Mexico,Boca Raton,FL,Chipiona,Cadiz,"Florida Atlantic University '18, Mechanical Engineering",0.0,20.0
Raven,Saunders,F,Track and Field,Shot Put,none,"5'5""",240,1996-05-15,Charleston,SC,Charleston,SC,Oxford,MS,"University of Mississippi '18, General Studies",0.0,20.0
Gary,Russell,M,Boxing,Light Welterweight - 64 kg.,None,"5'8""",141,1996-06-14,"Washington, D.C.",DC,"Washington, D.C.",DC,Capitol Heights,MD,Croom High School,0.0,20.0
Steele,Johnson,M,Diving,"10m Synchro, 10m Individual",none,"6'2""",175,1996-06-16,Indianapolis,IN,Carmel,IN,Carmel,IN,"Purdue University '18, Film and Video Studies",0.0,20.0
Lily,Zhang,F,Table Tennis,"Singles, Team",2012,"5'5""",130,1996-06-16,Palo Alto,CA,Palo Alto,CA,Milpitas,CA,University of California - Berkeley,1.0,20.0
Richelle,Stephens,F,Rugby,Flyhalf,none,"5'6""",145,1996-07-22,Fallbrook,CA,Fallbrook,CA,Fallbrook,CA,Lindenwood University,0.0,20.0
Simone,Manuel,F,Swimming,"50m Free, 100m Free, 4x100 Free",none,"5'10""",160,1996-08-02,Houston,TX,Sugar Land,TX,Sugar Land,TX,"Stanford University '18, Undeclared",0.0,20.0
Caeleb,Dressel,M,Swimming,"100m Free, 4x100m Free",none,"6'3""",190,1996-08-16,Orange Park,FL,Orange Park,FL,Gainesville,FL,University of Florida '18,0.0,20.0
Carlos,Balderas,M,Boxing,Lightweight - 60 kg.,None,"5'9""",132,1996-08-24,Lompoc,CA,Santa Maria,CA,Santa Maria,CA,"Santa Maria High School (Santa Maria, Calif.) '15",0.0,20.0
Ariana,Washington,F,Track and Field,4x100m,none,"5'9""",135,1996-08-27,Signal Hill,CA,Long Beach,CA,Signal Hill,CA,"University of Oregon '19, Education",0.0,20.0
Lydia,Paterson,F,Shooting,Air,none,"5'4""",153,1996-10-17,Kansas City,KS,Kansas City,KS,Kansas City,KS,"University of St. Mary ’18, Biology",0.0,20.0
Alexis,Weeks,F,Track and Field,Pole Vault,none,"5'6""",130,1996-11-20,Jacksonville,AR,Cabot,AR,Fayetteville,AR,"University of Arkansas , Chemistry",0.0,20.0
Anita,Alvarez,F,Synchro,Duet/Team,none,"5'7""",114,1996-12-02,Buffalo,NY,Buffalo,NY,Concord,CA,U.S. Performance Academy - (2015),0.0,20.0
Amanda,Weitzeil,F,Swimming,"50m Free, 100m Free, 4x100m Free",none,5'10,150,1996-12-03,Valencia,CA,Saugus,CA,Saugus,CA,"Saugus High School (Saugus, Calif.) '15",0.0,20.0
Townley,Haas,M,Swimming,"200m Free, 4x200m Free",none,"6'5""",185,1996-12-13,Richmond,VA,Henrico,VA,Austin,TX,University of Texas,0.0,20.0
Chloé,Dygert,F,Cycling,Team Pursuit,none,"5'9""",147,1997-01-01,Indianapolis,IN,Brownsburg,IN,Bremerton,IN,Marian University,0.0,19.0
Lilly,King,F,Swimming,"100m Breast, 200m Breast",none,"5'9""",155,1997-02-10,Evansville,IN,Evansville,IN,Evansville,IN,"Indiana University '19, Physical Education",0.0,19.0
Virginia,Thrasher,F,Shooting,"Air, Three-Position",none,"5'1""",120,1997-02-28,Rome,NY,Springfield,VA,Springfield,VA,"West Virginia University ‘19, Engineering",0.0,19.0
Kathleen,Baker,F,Swimming,100m Back,none,"5'8""",149,1997-02-28,Winston Salem,NC,Winston-Salem,NC,Winston Salem,NC,"University of California – Berkeley ‘19, Public Health",0.0,19.0
Natalie,McGiffert,F,Gymnastics,Rhythmic group,none,"5'3""",97,1997-03-14,Los Angeles,CA,Topanga,CA,Northbrook,IL,"Glenbrook High School (Northbrook, Ill.) '15",0.0,19.0
Simone,Biles,F,Gymnastics,Artistic – Team,none,"4'8""",115,1997-03-14,Columbus,OH,Spring,TX,Spring,TX,Home School '15,0.0,19.0
Katie,Ledecky,F,Swimming,"200m Free, 400m Free, 800m Free, 4x200m Free",2012-G,"6'0""",160,1997-03-17,"Washington, D.C.",DC,Bethesda,MD,Bethesda,MD,"Stanford University, Undeclared",1.0,19.0
Makenzie,Fischer,F,Water Polo,Defender,none,"6'1""",165,1997-03-29,Laguna Beach,CA,Laguna Beach,CA,Laguna Beach,CA,Stanford 2020,0.0,19.0
Monica,Rokhman,F,Gymnastics,Rhythmic group,none,"5'8""",123,1997-05-27,Northbrook,IL,Northbrook,IL,Northbrook,IL,"Glenbrook North High School (Northbrook, Ill.) '15",0.0,19.0
Madison,Kocian,F,Gymnastics,Artistic – Team,none,"5'2""",102,1997-06-15,Dallas,TX,Dallas,TX,Dallas,TX,"Spring Creek Academy (Plano, Texas) '15",0.0,19.0
Shakur,Stevenson,M,Boxing,Bantamweight - 56 kg.,None,"5'8""",123,1997-06-28,Newark,NJ,Newark,NJ,Colorado Springs,CO,Central High School '15,0.0,19.0
Kristen,Shaldybin,F,Gymnastics,Rhythmic group,none,"5'9""",125,1997-08-08,Woonsocket,RI,Brooklyn,NY,Highwood,IL,"Highland Park High School (Highland Park, Ill.) '16",0.0,19.0
Thomas,Dunstan,M,Water Polo,Attacker (L),none,"6'3.5""",200,1997-09-29,Norwalk,CT,New Canaan,CT,Newport Coast,CA,Mater Dei HS 2016,0.0,19.0
Charles,Conwell,M,Boxing,Middleweight - 75 kg.,None,"5'9""",165,1997-11-02,Detroit,MI,Cleveland,OH,Cleveland Heights,OH,"Cleveland Heights High School (Cleveland Land Height, Ohio) '16",0.0,19.0
Ben,Hallock,M,Water Polo,Center,none,"6'6""",235,1997-11-22,Santa Barbara,CA,Westlake Village,CA,Studio City,CA,Stanford 2020,0.0,19.0
Vashti,Cunningham,F,Track and Field,High Jump,none,"6'1""",123,1998-01-18,Las Vegas,NV,Las Vegas,NV,Las Vegas,NV,"Bishop Gorman High School (Las Vegas, Nev.) '16",0.0,18.0
Mallory,Pugh,F,Soccer,Forward,none,"5'4""",120,1998-04-29,Littleton,CO,Highlands Ranch,CO,Highlands Ranch,CO,University of California - Los Angeles,0.0,18.0
Nicole,Ahsinger,F,Gymnastics,Trampoline,none,"5'4""",128,1998-05-12,San Diego,CA,San Diego,CA,Lafayette,LA,"Scripps Ranch (San Diego, Calif.) '16",0.0,18.0
Maddie,Musselman,F,Water Polo,Attacker,none,"5'11""",145,1998-06-16,Newport Beach,CA,Newport Beach,CA,Newport Beach,CA,UCLA 2020,0.0,18.0
Kiana,Eide,F,Gymnastics,Rhythmic group,none,5'3,118,1998-09-25,Fridley,MN,St. Francis,MN,Northbrook,IL,"Glenbrook North High School (Northbrook, Ill.) '17",0.0,18.0
Aria,Fischer,F,Water Polo,Attacker,none,"6'0""",173,1999-03-02,Laguna Beach,CA,Laguna Beach,CA,Laguna Beach,CA,Laguna Beach HS 2017,0.0,17.0
Sydney,McLaughlin,F,Track and Field,400m Hurdles,none,"5'9""",132,1999-08-07,New Brunswick,NJ,Dunellen,NJ,Dunellen,NJ,"Union Catholic Regional High School (Scotch Plains, N.J.) '17",0.0,17.0
Laura,Zeng,F,Gymnastics,Rhythmic individual,none,"5'3""",95,1999-10-14,Hartford,CT,Libertyville,IL,Libertyville,IL,"Libertyville High School (Libertyville, Ill.) '18",0.0,17.0
Laurie,Hernandez,F,Gymnastics,Artistic – Team,none,"5'0""",107,2000-06-09,New Brunswick,NJ,Old Bridge,NJ,Old Bridge,NJ,"Abeka Academy (Old Bridge, N.J.) '18",0.0,16.0
Kanak,Jha,M,Table Tennis,"Singles, Team",none,"5'5""",114,2000-06-19,Milpitas,CA,Milpitas,CA,Milpitas,CA,"Milpitas High School (Milpitas, Calif.) '18",0.0,16.0
